pos,country_code,region_code,PourcentDeathAttribuableEnv,Per100000AirPol,Per100000Chemi,Per100000Water,Per100000UV,country_name,region_name,WorldBankincome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,"
1,AFG,EMR,0.26,95.1151,1.18838,13.921,0.46,Afghanistan,Eastern Mediterranean,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AGO,AFR,0.26,67.25207,2.69948,48.815,1.23,Angola,Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALB,EUR,0.23,104.74041,0.43779,0.166,1.45,Albania,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AND,EUR,0.11,,,,2.31,Andorra,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ARE,EMR,0.22,15.93985,0.25938,0.029,0.21,United Arab Emirates,Eastern Mediterranean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ARG,AMR,0.13,36.95279,0.63831,0.363,2.12,Argentina,Americas,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ARM,EUR,0.21,80.51174,0.63363,0.177,2.2,Armenia,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ATG,AMR,0.12,28.28815,0.38689,0.114,0.15,Antigua and Barbuda,Americas,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AUS,WPR,0.1,16.83212,0.18709,0.095,5.73,Australia,Western Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AUT,EUR,0.12,38.74384,0.22472,0.124,2.94,Austria,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AZE,EUR,0.21,54.93922,0.55468,1.12,0.57,Azerbaijan,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BDI,AFR,0.26,100.23255,5.19373,65.401,0.81,Burundi,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BEL,EUR,0.12,39.35927,0.2327,0.282,2.48,Belgium,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BEN,AFR,0.25,119.06817,3.51188,59.73,0.65,Benin,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BFA,AFR,0.26,92.70708,2.96109,49.641,0.2,Burkina Faso,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BGD,SEAR,0.23,103.44324,0.2855,11.945,0.15,Bangladesh,South-East Asia,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BGR,EUR,0.17,140.53897,0.61392,0.129,2.3,Bulgaria,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BHR,EMR,0.16,15.31571,0.20769,0.04,0.33,Bahrain,Eastern Mediterranean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BHS,AMR,0.09,21.59453,0.14103,0.069,0.55,The Bahamas,Americas,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BIH,EUR,0.27,159.33101,0.52007,0.079,1.41,Bosnia and Herzegovina,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BLR,EUR,0.19,109.57402,2.61285,0.052,2.68,Belarus,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
